episode,agent_type,step,hour,action,soc,soc_after,pv_kw,load_kw,diesel_on,diesel_kw,battery_kw,unmet_load_kw,curtailed_kw,health,reward,rew_unmet_load,rew_fuel,rew_battery_stress,rew_diesel_idle
1,rule_based,18,18,2,0.4206,0.4358,1.657,23.762,1,23.762,-1.657,0.0,0.0,0.99972,-4.9772,-0.0,-4.9772,-0.0,0.0
1,rule_based,19,19,2,0.4358,0.406,0.999,33.98,1,30.0,2.981,0.0,0.0,0.99971,-6.1,-0.0,-6.1,-0.0,0.0
1,rule_based,20,20,2,0.406,0.3886,0.386,32.13,1,30.0,1.744,0.0,0.0,0.9997,-6.1057,-0.0,-6.1,-0.0057,0.0
1,rule_based,21,21,2,0.3886,0.3904,0.203,29.738,1,29.738,-0.203,0.0,0.0,0.9997,-6.0577,-0.0,-6.0529,-0.0048,0.0
1,rule_based,22,22,2,0.3904,0.3912,0.079,29.959,1,29.959,-0.079,0.0,0.0,0.9997,-6.0971,-0.0,-6.0927,-0.0044,0.0
1,rule_based,23,23,2,0.3912,0.3914,0.028,22.895,1,22.895,-0.028,0.0,0.0,0.9997,-4.8255,-0.0,-4.8212,-0.0043,0.0
2,rule_based,0,0,1,0.7,0.625,0.001,7.498,0,0.0,7.498,0.0,0.0,0.99997,0.0,-0.0,-0.0,-0.0,0.0
2,rule_based,1,1,1,0.625,0.5685,0.002,5.656,0,0.0,5.654,0.0,0.0,0.99995,0.0,-0.0,-0.0,-0.0,0.0
2,rule_based,2,2,1,0.5685,0.4776,0.011,9.098,0,0.0,9.087,0.0,0.0,0.99991,0.0,-0.0,-0.0,-0.0,0.0
2,rule_based,3,3,2,0.4776,0.4802,0.026,8.743,1,9.0,-0.284,0.0,0.0,0.99991,-2.32,-0.0,-2.32,-0.0,0.0
2,rule_based,4,4,2,0.4802,0.4951,0.083,7.468,1,9.0,-1.615,0.0,0.0,0.9999,-2.32,-0.0,-2.32,-0.0,0.0
2,rule_based,5,5,2,0.4951,0.5092,0.236,7.702,1,9.0,-1.534,0.0,0.0,0.9999,-2.32,-0.0,-2.32,-0.0,0.0
2,rule_based,6,6,1,0.5092,0.4413,0.45,7.24,0,0.0,6.79,0.0,0.0,0.99987,0.0,-0.0,-0.0,-0.0,0.0
2,rule_based,7,7,2,0.4413,0.4609,1.041,7.907,1,9.0,-2.134,0.0,0.0,0.99986,-2.32,-0.0,-2.32,-0.0,0.0
2,rule_based,8,8,2,0.4609,0.4933,1.942,7.425,1,9.0,-3.517,0.0,0.0,0.99985,-2.32,-0.0,-2.32,-0.0,0.0
2,rule_based,9,9,2,0.4933,0.5378,3.016,7.172,1,9.0,-4.844,0.0,0.0,0.99983,-2.32,-0.0,-2.32,-0.0,0.0
2,rule_based,10,10,1,0.5378,0.5041,4.918,8.287,0,0.0,3.369,0.0,0.0,0.99982,0.0,-0.0,-0.0,-0.0,0.0
2,rule_based,11,11,3,0.5041,0.4776,6.051,8.709,0,0.0,2.658,0.0,0.0,0.99981,0.0,-0.0,-0.0,-0.0,0.0
2,rule_based,12,12,3,0.4776,0.4394,5.778,9.596,0,0.0,3.817,0.0,0.0,0.99979,0.0,-0.0,-0.0,-0.0,0.0
2,rule_based,13,13,3,0.4394,0.4329,7.2,7.853,0,0.0,0.653,0.0,0.0,0.99979,0.0,-0.0,-0.0,-0.0,0.0
2,rule_based,14,14,3,0.4329,0.3878,5.044,9.55,0,0.0,4.505,0.0,0.0,0.99977,-0.0061,-0.0,-0.0,-0.0061,0.0
2,rule_based,15,15,3,0.3878,0.3031,6.493,14.96,0,0.0,8.467,0.0,0.0,0.99974,-0.0484,-0.0,-0.0,-0.0484,0.0
2,rule_based,16,16,3,0.3031,0.2,5.073,20.756,0,0.0,10.307,5.375,0.0,0.9997,-10.8502,-10.7502,-0.0,-0.1,0.0
2,rule_based,17,17,0,0.2,0.2722,3.054,25.207,1,30.0,-7.846,0.0,0.0,0.99967,-6.1639,-0.0,-6.1,-0.0639,0.0
2,rule_based,18,18,0,0.2722,0.2626,1.75,32.707,1,30.0,0.957,0.0,0.0,0.99966,-6.1687,-0.0,-6.1,-0.0687,0.0
2,rule_based,19,19,0,0.2626,0.2523,0.809,31.843,1,30.0,1.034,0.0,0.0,0.99966,-6.1739,-0.0,-6.1,-0.0739,0.0
2,rule_based,20,20,0,0.2523,0.2,0.49,42.566,1,30.0,12.075,0.0,0.0,0.99964,-6.2,-0.0,-6.1,-0.1,0.0
2,rule_based,21,21,0,0.2,0.2091,0.182,29.198,1,30.0,-0.984,0.0,0.0,0.99964,-6.1955,-0.0,-6.1,-0.0955,0.0
2,rule_based,22,22,0,0.2091,0.2,0.073,33.065,1,30.0,2.992,0.0,0.0,0.99963,-6.2,-0.0,-6.1,-0.1,0.0
2,rule_based,23,23,0,0.2,0.2164,0.027,28.25,1,30.0,-1.777,0.0,0.0,0.99963,-6.1918,-0.0,-6.1,-0.0918,0.0
3,rule_based,0,0,1,0.7,0.6445,0.001,5.547,0,0.0,5.546,0.0,0.0,0.99998,0.0,-0.0,-0.0,-0.0,0.0
3,rule_based,1,1,1,0.6445,0.57,0.003,7.455,0,0.0,7.452,0.0,0.0,0.99995,0.0,-0.0,-0.0,-0.0,0.0
3,rule_based,2,2,1,0.57,0.4922,0.008,7.793,0,0.0,7.785,0.0,0.0,0.99992,0.0,-0.0,-0.0,-0.0,0.0
3,rule_based,3,3,2,0.4922,0.5036,0.019,7.777,1,9.0,-1.242,0.0,0.0,0.99991,-2.32,-0.0,-2.32,-0.0,0.0
3,rule_based,4,4,1,0.5036,0.3924,0.07,11.19,0,0.0,11.121,0.0,0.0,0.99987,-0.0038,-0.0,-0.0,-0.0038,0.0
3,rule_based,5,5,2,0.3924,0.4066,0.213,7.662,1,9.0,-1.551,0.0,0.0,0.99986,-2.32,-0.0,-2.32,-0.0,0.0
3,rule_based,6,6,2,0.4066,0.4259,0.453,7.359,1,9.0,-2.094,0.0,0.0,0.99985,-2.32,-0.0,-2.32,-0.0,0.0
3,rule_based,7,7,2,0.4259,0.4461,0.82,7.627,1,9.0,-2.193,0.0,0.0,0.99985,-2.32,-0.0,-2.32,-0.0,0.0
3,rule_based,8,8,2,0.4461,0.475,1.925,7.78,1,9.0,-3.145,0.0,0.0,0.99983,-2.32,-0.0,-2.32,-0.0,0.0
3,rule_based,9,9,2,0.475,0.5169,3.385,7.84,1,9.0,-4.545,0.0,0.0,0.99982,-2.32,-0.0,-2.32,-0.0,0.0
3,rule_based,10,10,1,0.5169,0.4646,4.383,9.608,0,0.0,5.225,0.0,0.0,0.9998,0.0,-0.0,-0.0,-0.0,0.0
3,rule_based,11,11,3,0.4646,0.449,6.237,7.797,0,0.0,1.56,0.0,0.0,0.99979,0.0,-0.0,-0.0,-0.0,0.0
3,rule_based,12,12,3,0.449,0.4218,6.624,9.34,0,0.0,2.716,0.0,0.0,0.99978,0.0,-0.0,-0.0,-0.0,0.0
3,rule_based,13,13,3,0.4218,0.3992,7.2,9.458,0,0.0,2.258,0.0,0.0,0.99977,-0.0004,-0.0,-0.0,-0.0004,0.0
3,rule_based,14,14,3,0.3992,0.3343,6.562,13.056,0,0.0,6.494,0.0,0.0,0.99974,-0.0329,-0.0,-0.0,-0.0329,0.0
3,rule_based,15,15,2,0.3343,0.3803,4.999,14.217,1,14.217,-4.999,0.0,0.0,0.99973,-3.2689,-0.0,-3.259,-0.0099,0.0
3,rule_based,16,16,2,0.3803,0.4258,4.945,20.43,1,20.43,-4.945,0.0,0.0,0.99971,-4.3774,-0.0,-4.3774,-0.0,0.0
3,rule_based,17,17,2,0.4258,0.4534,3.001,26.336,1,26.336,-3.001,0.0,0.0,0.9997,-5.4406,-0.0,-5.4406,-0.0,0.0
3,rule_based,18,18,2,0.4534,0.4312,1.034,33.25,1,30.0,2.216,0.0,0.0,0.99969,-6.1,-0.0,-6.1,-0.0,0.0
3,rule_based,19,19,2,0.4312,0.4389,0.834,26.825,1,26.825,-0.834,0.0,0.0,0.99969,-5.5285,-0.0,-5.5285,-0.0,0.0
3,rule_based,20,20,2,0.4389,0.3644,0.493,37.942,1,30.0,7.449,0.0,0.0,0.99966,-6.1178,-0.0,-6.1,-0.0178,0.0
3,rule_based,21,21,2,0.3644,0.3662,0.192,29.208,1,29.208,-0.192,0.0,0.0,0.99965,-5.9744,-0.0,-5.9575,-0.0169,0.0
3,rule_based,22,22,2,0.3662,0.3669,0.08,29.432,1,29.432,-0.08,0.0,0.0,0.99965,-6.0144,-0.0,-5.9978,-0.0165,0.0
3,rule_based,23,23,2,0.3669,0.3672,0.034,26.563,1,26.563,-0.034,0.0,0.0,0.99965,-5.4977,-0.0,-5.4813,-0.0164,0.0
4,rule_based,0,0,1,0.7,0.6217,0.001,7.832,0,0.0,7.832,0.0,0.0,0.99997,0.0,-0.0,-0.0,-0.0,0.0
4,rule_based,1,1,1,0.6217,0.5354,0.003,8.633,0,0.0,8.63,0.0,0.0,0.99993,0.0,-0.0,-0.0,-0.0,0.0
4,rule_based,2,2,1,0.5354,0.4555,0.007,7.995,0,0.0,7.988,0.0,0.0,0.9999,0.0,-0.0,-0.0,-0.0,0.0
4,rule_based,3,3,2,0.4555,0.4636,0.025,8.143,1,9.0,-0.883,0.0,0.0,0.9999,-2.32,-0.0,-2.32,-0.0,0.0
4,rule_based,4,4,2,0.4636,0.4712,0.061,8.232,1,9.0,-0.829,0.0,0.0,0.9999,-2.32,-0.0,-2.32,-0.0,0.0
4,rule_based,5,5,2,0.4712,0.4732,0.213,9.513,1,9.513,-0.213,0.0,0.0,0.9999,-2.4123,-0.0,-2.4123,-0.0,0.0
4,rule_based,6,6,2,0.4732,0.4824,0.496,8.491,1,9.0,-1.005,0.0,0.0,0.99989,-2.32,-0.0,-2.32,-0.0,0.0
4,rule_based,7,7,2,0.4824,0.4894,0.756,10.165,1,10.165,-0.756,0.0,0.0,0.99989,-2.5298,-0.0,-2.5298,-0.0,0.0
4,rule_based,8,8,2,0.4894,0.5012,1.279,9.068,1,9.068,-1.279,0.0,0.0,0.99988,-2.3322,-0.0,-2.3322,-0.0,0.0
4,rule_based,9,9,1,0.5012,0.4575,2.814,7.184,0,0.0,4.37,0.0,0.0,0.99987,0.0,-0.0,-0.0,-0.0,0.0
4,rule_based,10,10,2,0.4575,0.5079,3.937,7.451,1,9.0,-5.486,0.0,0.0,0.99985,-2.32,-0.0,-2.32,-0.0,0.0
4,rule_based,11,11,3,0.5079,0.487,6.094,8.19,0,0.0,2.096,0.0,0.0,0.99984,0.0,-0.0,-0.0,-0.0,0.0
4,rule_based,12,12,3,0.487,0.4902,7.2,6.846,0,0.0,-0.354,0.0,0.0,0.99984,0.0,-0.0,-0.0,-0.0,0.0
4,rule_based,13,13,3,0.4902,0.4749,7.197,8.728,0,0.0,1.532,0.0,0.0,0.99983,0.0,-0.0,-0.0,-0.0,0.0
4,rule_based,14,14,3,0.4749,0.46,7.2,8.692,0,0.0,1.492,0.0,0.0,0.99982,0.0,-0.0,-0.0,-0.0,0.0
4,rule_based,15,15,3,0.46,0.3636,5.468,15.104,0,0.0,9.636,0.0,0.0,0.99979,-0.0182,-0.0,-0.0,-0.0182,0.0
4,rule_based,16,16,2,0.3636,0.3949,3.395,21.358,1,21.358,-3.395,0.0,0.0,0.99977,-4.547,-0.0,-4.5445,-0.0026,0.0
4,rule_based,17,17,2,0.3949,0.4228,3.039,27.322,1,27.322,-3.039,0.0,0.0,0.99976,-5.6179,-0.0,-5.6179,-0.0,0.0
4,rule_based,18,18,2,0.4228,0.4417,2.054,26.137,1,26.137,-2.054,0.0,0.0,0.99975,-5.4047,-0.0,-5.4047,-0.0,0.0
4,rule_based,19,19,2,0.4417,0.4231,0.858,32.723,1,30.0,1.865,0.0,0.0,0.99975,-6.1,-0.0,-6.1,-0.0,0.0
4,rule_based,20,20,2,0.4231,0.3426,0.526,38.574,1,30.0,8.048,0.0,0.0,0.99972,-6.1287,-0.0,-6.1,-0.0287,0.0
4,rule_based,21,21,2,0.3426,0.3334,0.184,31.097,1,30.0,0.913,0.0,0.0,0.99971,-6.1333,-0.0,-6.1,-0.0333,0.0
4,rule_based,22,22,2,0.3334,0.3341,0.07,27.543,1,27.543,-0.07,0.0,0.0,0.99971,-5.6907,-0.0,-5.6578,-0.033,0.0
4,rule_based,23,23,2,0.3341,0.3343,0.027,23.991,1,23.991,-0.027,0.0,0.0,0.99971,-5.0512,-0.0,-5.0183,-0.0328,0.0
